requirement_id,requirement_title,source_type,source_ref,prototype_ref,acceptance_ids
NFR-004,常用页面应在正常校园网络环境下较快加载。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-2-性能,,
NFR-005,搜索、筛选、打开详情、提交表单等核心操作应具备可接受的响应速度。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-2-性能,,
NFR-006,对重复提交、超额报名、无权限操作、缺失字段等情况应给出明确反馈。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-3-可靠性,,
NFR-007,关键操作应避免因重复点击造成重复数据。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-3-可靠性,,
NFR-008,系统应具备清晰的模块边界。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-4-可维护性,,
NFR-009,后续可扩展签到、消息通知、活动推荐、数据分析等能力。,brief,校园活动策划与报名管理平台-product-brief-11-非功能目标-11-4-可维护性,,
BR-001,游客只能浏览公开活动信息。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-1-角色与权限,,
BR-002,学生用户可以报名已发布活动，但不能审核活动。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-1-角色与权限,,
BR-003,活动负责人可以管理自己创建的活动，但不能审核自己的活动。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-1-角色与权限,,
BR-004,管理员可以审核和发布活动，但不能代替其他用户报名活动。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-1-角色与权限,,
BR-005,`draft`：草稿，活动负责人可继续编辑。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-2-活动状态,,
BR-006,`pending_review`：已提交审核,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-2-活动状态,,
BR-007,`rejected`：审核未通过,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-2-活动状态,,
BR-008,`published`：审核通过并对学生开放报名。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-2-活动状态,,
BR-009,`registration_closed`：活动仍保留展示,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-2-活动状态,,
BR-010,`completed`：活动已结束。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-2-活动状态,,
BR-011,`cancelled`：活动被取消。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-2-活动状态,,
BR-012,只有 `published` 状态的活动允许报名。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-3-报名规则,,
BR-013,当活动报名人数达到上限时，系统不得再接受新的报名请求。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-3-报名规则,,
BR-014,同一学生不能重复报名同一活动。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-3-报名规则,,
BR-015,学生在活动报名截止前可以取消报名，取消后名额应释放。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-3-报名规则,,
BR-016,已结束、已取消、未发布的活动不能报名。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-3-报名规则,,
BR-017,活动名称,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-018,活动类型,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-019,活动简介,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-020,主办方,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-021,活动地点,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-022,活动开始时间,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-023,活动结束时间,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-024,报名截止时间,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-025,人数上限,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-026,面向对象/参与范围,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-4-活动信息完整性,,
BR-027,信息不完整的活动不能审核通过。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-5-审核规则,,
BR-028,管理员驳回活动时必须填写驳回原因。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-5-审核规则,,
BR-029,已审核通过的活动如需修改关键字段，应重新进入审核流程。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-5-审核规则,,
BR-030,审核记录应保留审核人、审核时间、审核结论和说明。,brief,校园活动策划与报名管理平台-product-brief-8-关键业务规则-8-5-审核规则,,
EC-001,游客尝试报名,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-002,用户重复报名同一活动,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-003,活动满员后继续报名,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-004,报名截止后继续报名,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-005,非管理员访问审核中心,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-006,活动负责人提交信息不完整的活动,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-007,管理员驳回活动,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-008,学生取消已报名活动,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-009,已发布活动修改关键字段,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
EC-010,活动被取消后学生查看详情,prototype,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,校园活动策划与报名管理平台-prototype-notes-8-异常与边界场景,
